epoch,train_acc,train_loss,val_acc,val_loss,current_lr
1,0.9323600000000001,0.21919661531448364,0.8727019498607242,1.0626892481916768,0.01
2,0.9617100000000001,0.1244718298125267,0.894707520891365,1.0148634596873065,0.01
3,0.97362,0.08323558092236519,0.8933147632311979,0.5509310740199261,0.01
4,0.97706,0.07085820480376483,0.7821727019498608,1.4149396829939418,0.01
5,0.9783000000000001,0.06982469974458218,0.8125348189415043,2.3717452802232915,0.01
6,0.9802600000000001,0.0617417594447732,0.9242339832869081,0.34254704112116335,0.01
7,0.98311,0.05460216800786555,0.8271587743732591,1.4742728103632523,0.01
8,0.9843500000000001,0.049539082911014554,0.844150417827298,0.7429106796509262,0.01
9,0.9829500000000001,0.05322064968109131,0.7584958217270196,1.1810194467383757,0.01
10,0.9843000000000001,0.0495844352735579,0.5856545961002786,4.213605896163664,0.01
11,0.98728,0.0398373837788403,0.8924791086350975,0.48740786961070576,0.01
12,0.9863500000000001,0.042603619118109344,0.7459610027855154,1.5102591729296422,0.01
13,0.9890100000000001,0.03380755621418357,0.8200557103064067,1.3200496659816494,0.01
14,0.98877,0.03695957842323929,0.6103064066852368,2.2909178410279947,0.01
15,0.9903600000000001,0.029571078129820526,0.752924791086351,1.7735344533091715,0.01
